county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3
WESTCHESTER,758940,Store,AC,TARGET CORPORATION,TARGET STORE T-2879,9005,XAVIER DR,YONKERS,NY,10704,"{'type': 'Point', 'coordinates': [-73.85207, 40.92956]}",948,133000,,
BRONX,758938,Store,AC,SABANA BUEY DELI GROCERY CORP,SABANA BUEY DELI GROCERY,804,E 178TH STREET,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.887, 40.84453]}",307,,,
WESTCHESTER,758937,Store,AC,EMMY DELI GROCERY CORP,EMMY DELI GROCERY,51,HORTON AVENUE,NEW ROCHELLE,NY,10801,"{'type': 'Point', 'coordinates': [-73.78942, 40.91981]}",960,1200,,
KINGS,758936,Store,AC,IBB DELI & GRILL CORP,IBB DELI & GRILL,1020,WINTHROP ST,BROOKLYN,NY,11212,"{'type': 'Point', 'coordinates': [-73.92564, 40.66036]}",894,1200,,
ALBANY,758927,Store,AC,BANGLA BAZAR LLC,BANGLA BAZAR HALAL GROCECRY,290,CENTRAL AVE,ALBANY,NY,12206,"{'type': 'Point', 'coordinates': [-73.7722, 42.66453]}",814,,,
ROCKLAND,758926,Store,AC,POP A LICIOUS LLC,BRIMARIE GOURMET POPCORN,543,WESTERN HWY STE 2,BLAUVELT,NY,10913,"{'type': 'Point', 'coordinates': [-73.95714, 41.06001]}",530,2200,,
KINGS,758923,Store,AC,K&G MARKET LLC,K&G MARKET,9420,CHURCH AVE (#9406),BROOKLYN,NY,11212,"{'type': 'Point', 'coordinates': [-73.91644, 40.65508]}",894,3500,,
QUEENS,758918,Store,AC,ZAMAN GOURMET DELI CORP,ZAMAN GOURMET DELI,91-09,ROOSEVELT AVE  ##,JACKSON HEIGHTS,NY,11372,"{'type': 'Point', 'coordinates': [-73.87511, 40.74856]}",196,1400,,
BRONX,758917,Store,AC,ILUSION DELI GROCERY CORP,ILUSION DELI GROCERY,662,EAST 141ST ST,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.9131, 40.80748]}",307,1000,,
KINGS,758911,Store,AC,KING DELI & GRILL 3 CORP,KING DELI & GRILL 3,1932,KINGS HWY,BROOKLYN,NY,11229,"{'type': 'Point', 'coordinates': [-73.95377, 40.61058]}",894,1500,,
WARREN,758908,Store,AC,RED WAGON BBQ SAUCE LLC,KELLY'S,2378,NY-28,WEVERTOWN,NY,12886,,,,,
RICHMOND,758907,Store,AC,CB 180 CORP,CRACKER BARREL,180,MAIN ST.,STATEN ISLAND,NY,10307,"{'type': 'Point', 'coordinates': [-74.24835, 40.51066]}",585,1500,,
RICHMOND,758906,Store,AC,HY STAR 4278 CORP,HY STAR DELI,4278,ARTHUR KILL RD,STATEN ISLAND,NY,10309,"{'type': 'Point', 'coordinates': [-74.23723, 40.53761]}",585,2000,,
BRONX,758904,Store,A,CULINART INC,BALDOR SPECIALTY FOODS,155,FOOD CENTER DRIVE  ##,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.87445, 40.80814]}",307,400,,
OTSEGO,758902,Store,AC,GATEHOUSE COFFEE LLC,GATEHOUSE COFFEE SHOP,129,MAIN ST ##,MORRIS,NY,13808,"{'type': 'Point', 'coordinates': [-75.2455, 42.54855]}",905,1000,,
QUEENS,758890,Store,AC,FUJI SHOP INC,JAPANESE GROCERY STORE,86-55,BROADWAY STORE#B-1-B-2 ##,ELMHURST,NY,11373,"{'type': 'Point', 'coordinates': [-73.87736, 40.73722]}",196,400,,
BROOME,758889,Store,A,YUMMY MARKET CORP,YUMMY MARKET,188,MAIN ST 1 FL  ##,BINGHAMTON,NY,13905,"{'type': 'Point', 'coordinates': [-75.93206, 42.10426]}",968,,,
NASSAU,758888,Store,AC,FARMBOY MEAT & PRODUCE INC,FOOD WORLD,500,WEST MERRICK RD,VALLEY STREAM,NY,11580,"{'type': 'Point', 'coordinates': [-73.71498, 40.66927]}",62,19000,,
BRONX,758884,Store,AC,SEANS QUALITY DELI LLC,SEAN'S QUALITY DELI,4273,KATONAH AVENUE,BRONX,NY,10470,"{'type': 'Point', 'coordinates': [-73.86721, 40.8977]}",307,1100,,
NIAGARA,758883,Store,AC,KULAR ENTERPRISES INC,KULAR ENTERPRISES,837,NASH ROAD,NORTH TONAWANDA,NY,14120,"{'type': 'Point', 'coordinates': [-78.86541, 43.04566]}",158,2500,,
NEW YORK,758882,Store,AC,MADISON CAFE & GRILL CORPORATION,MADISON CAFE & GRILL,244,MADISON AVE ###,NEW YORK,NY,10016,"{'type': 'Point', 'coordinates': [-73.98126, 40.75009]}",749,1600,,
