county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude
BRONX,717351,Store,AC,OMEGA SEAFOOD & GREEN MARKET INC,OMEGA SEAFOOD & GREEN MARKET,168,W TREMONT AVE,BRONX,NY,10453,"{'type': 'Point', 'coordinates': [-73.91575, 40.85079]}",307,2400,,,-73.91575,40.85079
BRONX,717253,Store,AC,CAMILLA GROCERY STORE INC,CAMILLA GROCERY STORE,1665,BOSTON RD. ###,BRONX,NY,10460,"{'type': 'Point', 'coordinates': [-73.88967, 40.83626]}",307,1200,,,-73.88967,40.83626
BRONX,717180,Store,A,SAMADAN DELI GROCERY INC,SAMADAN DELI GROCERY,1760,WESTCHESTER AVE,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.86796, 40.83141]}",307,,,,-73.86796,40.83141
BRONX,717127,Store,ACK,ICE SCULPTURES OF NY INC,ICE SCULPTURES OF NY,2328,BATHGATE AVE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89108, 40.85538]}",307,1500,,,-73.89108,40.85538
BRONX,716959,Store,AC,H & F GOURMET DELI CORP,H & F GOURMET DELI,1890,RANDALL AVE ####,BRONX,NY,10473,"{'type': 'Point', 'coordinates': [-73.85865, 40.81758]}",307,1000,,,-73.85865,40.81758
BRONX,716943,Store,AC,SUSHI BENTO NY INC,SUSHI BENTO NY,540,W 235TH ST,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.90919, 40.88551]}",307,100,,,-73.90919,40.88551
BRONX,716899,Store,AC,2918 GAS CORP,2918 GAS CORP,2918,BOSTON RD,BRONX,NY,10469,"{'type': 'Point', 'coordinates': [-73.85904, 40.86799]}",307,,,,-73.85904,40.86799
BRONX,716865,Store,AC,CROES GROCERY DELI CORP,CROES GROCERY DELI,1701,E 174TH ST,BRONX,NY,10472,"{'type': 'Point', 'coordinates': [-73.87168, 40.83454]}",307,900,,,-73.87168,40.83454
BRONX,716722,Store,ABCK,ALL NATURAL PRODUCTS INC,DAVIDOVICH BAKERY,727,DRAKE ST,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88303, 40.81598]}",307,10000,,,-73.88303,40.81598
BRONX,716721,Store,AC,749 HAPPY DELI GROCERY CORP,749 HAPPY DELI GROCERY,749,E 187TH ST,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.88287, 40.85369]}",307,750,,,-73.88287,40.85369
BRONX,716328,Store,AC,161 SHADDAD INC,161 SHADDAD,575,E 161 ST,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.90923, 40.82238]}",307,1800,,,-73.90923,40.82238
BRONX,716293,Store,AC,251 GROCERY & DELI CORP,251 GROCERY & DELI,251,W KINGSBRIDGE RD,BRONX,NY,10463,"{'type': 'Point', 'coordinates': [-73.90488, 40.87273]}",307,2000,,,-73.90488,40.87273
BRONX,716246,Store,AC,MB HALAL MARKET CORP,MB HALAL MARKET,440,E 161ST ST #2,BRONX,NY,10451,"{'type': 'Point', 'coordinates': [-73.91234, 40.82374]}",307,1200,,,-73.91234,40.82374
BRONX,716190,Store,AC,2400 C&F FOOD CORP,PIONEER,2400,RYER AVE,BRONX,NY,10458,"{'type': 'Point', 'coordinates': [-73.89782, 40.85994]}",307,9000,,,-73.89782,40.85994
BRONX,716176,Store,AC,MR GRILL DELI GROCERY CORP,MR GRILL DELI GROCERY,1431,PROSPECT AVE ####,BRONX,NY,10456,"{'type': 'Point', 'coordinates': [-73.8965, 40.83372]}",307,1300,,,-73.8965,40.83372
BRONX,716130,Store,AC,HURRIKANE ENTERPRISES UNLIMITED LLC,VALENCIA BAKERY,499,E 138TH ST,BRONX,NY,10454,"{'type': 'Point', 'coordinates': [-73.91962, 40.80773]}",307,900,,,-73.91962,40.80773
BRONX,716117,Store,AC,SHAKESPEARE DELI & GROCERY INC,SHAKESPEARE DELI & GROCERY,1174,SHAKESPEARE AVE ##,BRONX,NY,10452,"{'type': 'Point', 'coordinates': [-73.92343, 40.836]}",307,1500,,,-73.92343,40.836
BRONX,716075,Store,AC,123 MEAT FRUIT & VEGETABLE CORP,ANTILLANA MEAT MARKET,123,W KINGSBRIDGE RD,BRONX,NY,10468,"{'type': 'Point', 'coordinates': [-73.90256, 40.86879]}",307,1300,,,-73.90256,40.86879
BRONX,716068,Store,AC,MAN BRONXWOOD DELI CORP,MAN BRONXWOOD DELI,871,E 220TH ST,BRONX,NY,10467,"{'type': 'Point', 'coordinates': [-73.85695, 40.88255]}",307,1000,,,-73.85695,40.88255
BRONX,715834,Store,AC,GUERRERO BARAQUIEL,BG FRUIT MARKET,857,PROSPECT AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.9014, 40.82021]}",307,1500,,,-73.9014,40.82021
