Record ID,store_name,Store Type,Street Number,Street Name,Additional Address,city,state,Zip Code,Zip4,County,latitude,longitude,Authorization Date,End Date
1216662,1133 Express Deli Grocery LLC  ,Convenience Store,1133,Boston Road,Unit 1,Bronx,NY,10456, ,BRONX,40.82807,-73.90405,11/27/2015,9/4/2018
905503,1133 Jerome Ave Corp  ,Small Grocery Store,1133,Jerome Ave, ,Bronx,NY,10452,4802,BRONX,40.83498,-73.92409,9/1/2009,3/12/2014
855150,1135 Express Deli Inc  ,Convenience Store,1135,Hoe Ave, ,Bronx,NY,10459, ,BRONX,40.82698,-73.89094,7/10/2008,6/20/2010
922547,114 Santiago Grocery & Deli Corp  ,Convenience Store,114,E 170th St, ,Bronx,NY,10452,7021,BRONX,40.83928,-73.91535,2/4/2010,9/20/2016
767481,1142 Grocery Corp  ,Small Grocery Store,1142,E 165th St, ,Bronx,NY,10459,2630,BRONX,40.8252,-73.88745,10/13/2005,11/5/2007
803264,1145 GROCERY CORP  ,Small Grocery Store,1145,CLAY AVE, ,BRONX,NY,10456, ,BRONX,40.83071,-73.91157,10/17/2006,3/28/2011
797349,1145 J.D. DELI GROCERY INC  ,Small Grocery Store,1145,Boston Rd, ,Bronx,NY,10456,5301,BRONX,40.82825,-73.9039,9/8/2006,8/15/2010
560661,1147 RIVER GROCERY CORP  ,Medium Grocery Store,1147,River Ave, ,Bronx,NY,10452,8304,BRONX,40.83422,-73.92226,5/22/1997,10/21/2014
857294,1150 Diaz Grocery Corp  ,Small Grocery Store,1150,Anderson Ave, ,Bronx,NY,10452, ,BRONX,40.83571,-73.9245,7/28/2008,12/9/2014
857294,1150 Diaz Grocery Corp  ,Small Grocery Store,1150,Anderson Ave, ,Bronx,NY,10452, ,BRONX,40.83571,-73.9245,6/11/2015,5/1/2016
1346181,1150 Joseph Deli & Grocery Inc.  ,Convenience Store,1150,Garrison Ave, ,Bronx,NY,10474,4637,BRONX,40.82017,-73.88855,3/1/2019,8/7/2022
1346181,1150 Joseph Deli & Grocery Inc.  ,Convenience Store,1150,Garrison Ave, ,Bronx,NY,10474,4637,BRONX,40.82017,-73.88855,8/30/2022,3/26/2024
