county,license_number,operation_type,estab_type,entity_name,dba_name,street_number,street_name,city,state,zip_code,georeference,:@computed_region_yamh_8v7k,square_footage,address_line_2,address_line_3,longitude,latitude,snap_eligible,snap_ever_authorized,snap_match_method,snap_record_id,snap_store_name,snap_store_type,snap_auth_date,snap_end_date,snap_match_distance_m
BRONX,741208,Store,AC,JIMENEZ FRUITS & VEGETABLES INC,JIMENEZ FRUITS & VEGETABLES,901,SOUTHERN BLVD. STORE B,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89287, 40.81957]}",307,1200.0,,,-73.89287,40.81957,1,1,address,1387433.0,Jimenez Fruits & Vegetables,Small Grocery Store,8/21/2025,,0.0
BRONX,741041,Store,AC,ALKAIFI MUAAMAR A,EXPRESS CANDY,797,SOUTHERN BLVD,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.89638, 40.81615]}",307,950.0,,,-73.89638,40.81615,0,1,address,1283759.0,Express Candy And Grocery Inc,Small Grocery Store,6/22/2017,6/4/2019,0.0
BRONX,740372,Store,AC,WILLYS GROCERY STORE INC,WILLYS GROCERY STORE,699,BECK STREET ####,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.9003, 40.81503]}",307,1100.0,,,-73.9003,40.81503,1,1,address,1645086.0,J & J Deli Grocery Store Corp.,Convenience Store,3/26/2025,,0.0
BRONX,740303,Store,AC,MONTHER FOOD MART AND DELI CORP,MONTHER FOOD MART AND DELI,1078,E 165TH STREET ####,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89073, 40.82507]}",307,1200.0,,,-73.89073,40.82507,0,1,address,1376334.0,Monther Food Mart And Deli Corp,Convenience Store,10/8/2019,9/23/2025,0.0
BRONX,738717,Store,AC,SNACK ATTACK DELI 1 INC,SNACK ATTACK DELI 1,976,LONGWOOD AVE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89788, 40.8173]}",307,1000.0,,,-73.89788,40.8173,0,1,address,1027001.0,Metro Deli & Pizza Inc,Convenience Store,1/15/2014,4/1/2014,0.0
BRONX,738608,Store,AC,FRIENDS DELI & GRILL CORP,FRIENDS DELI & GRILL,585,SOUTHERN BLVD,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90218, 40.81269]}",307,1200.0,,,-73.90218,40.81269,0,1,address,1362789.0,Friends Deli & Grill Corp,Small Grocery Store,5/10/2022,6/14/2022,0.0
BRONX,738317,Store,AC,LUCKY 2 GOURMET DELI INC,LUCKY 2 GOURMET DELI,1007,E 163RD STREET ####,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89305, 40.82097]}",307,,,,-73.89305,40.82097,1,1,address,1250725.0,Moe's Gourmet Deli Plus Inc,Convenience Store,9/29/2025,,0.0
BRONX,737282,Store,AC,JAIVERY DELI GROCERY CORP,JAIVERY DELI GROCERY,907,SOUTHERN BLVD,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.89278, 40.81966]}",307,1000.0,,,-73.89278,40.81966,0,1,address,1353745.0,Jaivery Deli Grocery Corp,Small Grocery Store,9/29/2021,5/3/2023,0.0
BRONX,737185,Store,AC,ROSELYN DELI GROCERY CORP,ROSELYN DELI GROCERY,698,BECK STREET,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90041, 40.815]}",307,,,,-73.90041,40.815,1,1,address,1656698.0,Roselyn Deli Grocery Corp,Small Grocery Store,6/4/2025,,0.0
BRONX,736933,Store,AC,HUNTS POINT MARKET INC,HUNTS POINT MARKET,1081,LEGGETT AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.89598, 40.81214]}",307,1300.0,,,-73.89598,40.81214,0,1,address,904780.0,7-Eleven#39045A,Combination Grocery/Other,7/2/2009,1/16/2012,0.0
BRONX,736425,Store,AC,EL SITIO 2 DELI GROCERY CORP,EL SITIO DELI GROCERY,954,PROSPECT AVENUE,BRONX,NY,10459,"{'type': 'Point', 'coordinates': [-73.90042, 40.82255]}",307,1200.0,,,-73.90042,40.82255,1,1,address,1555478.0,El Sitio 2 Deli Grocery Co,Small Grocery Store,7/10/2023,,0.0
BRONX,735130,Store,AC,SALCEDO SUPERMARKET CORP,SALCEDO SUPERMARKET,1318,LAFAYETTE AVE,BRONX,NY,10474,"{'type': 'Point', 'coordinates': [-73.88643, 40.81689]}",307,2000.0,STORE 1-2-3,,-73.88643,40.81689,1,1,address,1640361.0,Salcedo Supermarket Corp,Medium Grocery Store,2/26/2025,,0.0
BRONX,733306,Store,AC,549 GROCERY INC,549 GROCERY,549,SOUTHERN BLVD,BRONX,NY,10455,"{'type': 'Point', 'coordinates': [-73.90358, 40.81228]}",307,700.0,,,-73.90358,40.81228,1,1,spatial,1283805.0,Discount Corp And 99c,Convenience Store,9/15/2017,,17.0
