camis,dba,boro,building,street,zipcode,cuisine_description,latitude,longitude,inspection_date,grade,score
50145760,SUBWAY,Bronx,2958,JEROME AVENUE,10468,Sandwiches,40.872767958441,-73.889629288265,2025-09-08 00:00:00,A,10
41258837,SUBWAY,Bronx,968,MORRIS PARK AVENUE,10462,Sandwiches,40.847639950427,-73.857245478872,2025-09-02 00:00:00,A,2
50142276,PANERA BREAD,Bronx,340,BAYCHESTER AVENUE,10475,Sandwiches,40.867773028994,-73.831245708274,2025-08-29 00:00:00,A,13
50067033,SUBWAY,Bronx,2052,JEROME AVENUE,10453,Sandwiches,40.854127418116,-73.907033312823,2025-08-28 00:00:00,A,4
50105836,DELICIAS RESTAURANT & SEAFOOD,Bronx,2419,GRAND CONCOURSE,10468,Latin American,40.860633125622,-73.898134393056,2025-08-22 00:00:00,A,12
50056591,SUBWAY,Bronx,311,EAST  204 STREET,10467,Sandwiches,40.872803271931,-73.878383871394,2025-08-04 00:00:00,A,7
50011380,SOUTHSIDE CAFE (Produce Market),Bronx,300C,HUNTS POINT TERMINAL MARKET,10474,Latin American,40.810354737405,-73.87815162537,2025-08-01 00:00:00,A,13
50088433,YANKEE TWIN EATERY,Bronx,844,RIVER AVENUE,10451,Sandwiches,40.827028918055,-73.92636672729,2025-07-31 00:00:00,A,12
50005649,NPR FOOD SOLUTIONS,Bronx,1588,WILLIAMSBRIDGE ROAD,10461,American,40.846745228998,-73.848713688165,2025-07-28 00:00:00,A,12
40875290,SEAFOOD CITY,Bronx,459,CITY ISLAND AVENUE,10464,Seafood,40.851135021048,-73.788464806874,2025-07-14 00:00:00,A,12
50077330,QUALITY FOOD CHINESE RESTAURANT,Bronx,3573,EAST TREMONT AVENUE,10465,Chinese,40.829548925682,-73.825156690914,2025-07-09 00:00:00,A,12
50169166,MBJ FOOD SERVICES,Bronx,500,GRAND CONCOURSE,10451,Coffee/Tea,40.81807904256,-73.927514726607,2025-06-02 00:00:00,N,14
41406856,FRANCO'S,Bronx,295,EAST  149 STREET,10451,Sandwiches/Salads/Mixed Buffet,40.817043011517,-73.921421019295,2025-05-15 00:00:00,A,13
50133152,FOOD BO GARDEN,Bronx,934C,EAST  163 STREET,10459,Chinese,40.820981252654,-73.896580294601,2025-04-30 00:00:00,A,12
50163951,SHAH'S HALAL FOOD,Bronx,124,WESTCHESTER SQUARE,10461,Middle Eastern,40.840207201012,-73.842541283466,2025-04-21 00:00:00,A,8
50120573,BABY CRAB SEAFOOD & GRILL,Bronx,5740,BROADWAY,10463,Seafood,40.882860546792,-73.901998704476,2025-04-07 00:00:00,A,13
50116337,SOSUA SEAFOOD,Bronx,57,WEST  170 STREET,10452,Seafood,40.840383897129,-73.920851228244,2025-03-05 00:00:00,A,11
50159934,HALAL FRESH FOOD & COFFEE,Bronx,225,MCCLELLAN STREET,10456,African,40.832234424326,-73.916488436623,2025-02-24 00:00:00,N,22
40885478,ROCA TONE SEAFOOD RESTAURANT,Bronx,3740,WHITE PLAINS ROAD,10467,Caribbean,40.882582308452,-73.863343365724,2024-12-17 00:00:00,A,10
41396667,STAND 127 FOOD COURT,Bronx,1,EAST  161 STREET,10451,American,40.829028434834,-73.928496459645,2024-09-27 00:00:00,A,12
50048098,THE FOOD COURT BAR,Bronx,1,EAST  161 STREET,10451,American,40.829028434834,-73.928496459645,2024-09-27 00:00:00,A,5
41396676,STAND 125 FOOD COURT,Bronx,1,EAST  161 STREET,10451,American,40.829028434834,-73.928496459645,2024-09-27 00:00:00,A,11
41400932,BLEACHER FOOD COURT,Bronx,1,EAST  161 STREET,10451,American,40.829028434834,-73.928496459645,2024-09-27 00:00:00,A,8
41396673,STAND 107,Bronx,1,EAST  161 STREET,10451,Sandwiches,40.829028434834,-73.928496459645,2024-09-27 00:00:00,A,2
50011499,SOUTH SIDE GOURMET SPANISH AND AMERICAN FOOD,Bronx,241B,NYC TERMINAL MARKET,,Spanish,0,0,2023-04-13 00:00:00,N,20
41238905,LA SALLE GROCERY,Bronx,1232,RANDALL AVENUE,10474,,40.811738053598,-73.888943353596,2008-07-08 13:12:00,N,27
50190388,"H ROBERT FOOD, LLC",Bronx,228,WILLIS AVENUE,10454,,40.808541044552,-73.92327701368,1900-01-01 00:00:00,,
50191653,JULY`S SEAFOOD REST. INC.,Bronx,2861,WHITE PLAINS ROAD,10467,,40.867331749609,-73.867304955021,1900-01-01 00:00:00,,
50177514,DEES GROCERY BRONX LLC,Bronx,973,PROSPECT AVENUE,10459,,40.822711044042,-73.900367777177,1900-01-01 00:00:00,,
50186866,FOOD 95 CORP,Bronx,548,EAST  138 STREET,10454,,40.806961826246,-73.917878484853,1900-01-01 00:00:00,,
50186362,A TASTE OF SEAFOOD,Bronx,1288,WASHINGTON AVENUE,10456,,40.832769824981,-73.9060550524,1900-01-01 00:00:00,,
50185801,SUBHAN FAST FOOD INC,Bronx,548,EAST  183 STREET,10458,,40.854179242252,-73.891041127819,1900-01-01 00:00:00,,
50176991,Ocean Blue Market Fish & Restaurant,Bronx,283,EAST  161 STREET,10451,,40.825409283067,-73.917917056016,1900-01-01 00:00:00,,
50134588,Bodega Social MH,Bronx,136,ALEXANDER AVENUE,10454,,40.807360544569,-73.927092968437,1900-01-01 00:00:00,,
50144249,FINE FOOD CUISINE INC.,Bronx,671,MORRIS PARK AVENUE,10462,,40.845027771958,-73.867074927077,1900-01-01 00:00:00,,
50145395,DELICIOUS SOUL FOOD,Bronx,596,GRAND CONCOURSE,10451,,40.819744610285,-73.926739728826,1900-01-01 00:00:00,,
50146638,DTESORO FOOD TRUCK CORP,Bronx,535,HAVEMEYER AVENUE,10473,,40.818081973918,-73.844671246368,1900-01-01 00:00:00,,
50167466,JMC FRESH FOODS CORP,Bronx,1000,WESTCHESTER AVENUE,10459,,40.823685024131,-73.893790306115,1900-01-01 00:00:00,,
50170996,INDIAN GRILL HALAL FOOD,Bronx,3110,3 AVENUE,10451,,40.821943673636,-73.911858573895,1900-01-01 00:00:00,,
50172071,THE SEAFOOD SPOT LLC.,Bronx,632,WALTON AVENUE,10451,,40.821249152884,-73.927406481566,1900-01-01 00:00:00,,
50175299,DEES GROCERY,Bronx,973,PROSPECT AVENUE,10459,,40.822711044042,-73.900367777177,1900-01-01 00:00:00,,
50192018,BAYVIEW GOURMET DELI MARKET INC,Bronx,3821,BOSTON ROAD,10466,,40.881558497655,-73.837965927882,1900-01-01 00:00:00,,
