fc_subsidy_id,ref_bbl,ref_address,agency_name,subsidy_name,sub_subsidy_name,project_name,start_date,end_date,tenure,preservation,program,reac_score,reac_date,tot_bbls,tot_buildings,tot_units,city_id,city_name,boro_id,boro_name,cd_id,cd_name,sba_id,sba_name,ccd_id,ccd_name,tract_10,data_dof,data_hcrlihtc,data_hpd,data_hpdlihtc,data_hudcon,data_hudfin,data_hudlihtc,data_ml,data_nycha,sub_fin,sub_prog,sub_tax,sub_zone,prog_202_8,start_202_8,end_202_8,prog_221d,start_221d,end_221d,prog_223,start_223,end_223,prog_420c,start_420c,end_420c,prog_421a,start_421a,end_421a,prog_421a_aff,start_421a_aff,end_421a_aff,prog_8a,start_8a,end_8a,prog_hpd_oth,start_hpd_oth,end_hpd_oth,prog_hud_fin_oth,start_hud_fin_oth,end_hud_fin_oth,prog_hud_proj_oth,start_hud_proj_oth,end_hud_proj_oth,prog_inclus_hous,start_inclus_hous,end_inclus_hous,prog_j51,start_j51,end_j51,prog_lamp,start_lamp,end_lamp,prog_lihtc4,start_lihtc4,end_lihtc4,prog_lihtc9,start_lihtc9,end_lihtc9,prog_lmsa,start_lmsa,end_lmsa,prog_mfp,start_mfp,end_mfp,prog_ml,start_ml,end_ml,prog_nep,start_nep,end_nep,prog_nrp,start_nrp,end_nrp,prog_nycha_mix,start_nycha_mix,end_nycha_mix,prog_nycha_ph,start_nycha_ph,end_nycha_ph,prog_plp,start_plp,end_plp,prog_prac_202,start_prac_202,end_prac_202,prog_proj8,start_proj8,end_proj8,prog_rad,start_rad,end_rad,prog_tpt,start_tpt,end_tpt,prog_year15,start_year15,end_year15
07000000021861,1020390010,263 West 153 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20070101,20510101,,Preservation,FALSE,,,1,1,85,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20070101,20510101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021862,1020390055,254 West 154 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20040101,20480101,,Preservation,FALSE,,,1,1,28,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021863,1020390058,262 West 154 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20040101,20480101,,Preservation,FALSE,,,1,1,27,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20040101,20480101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021864,1020400005,269 West 154 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20110101,20550101,,Preservation,FALSE,,,1,1,31,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20110101,20550101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021865,1020400006,267 West 154 Street,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20110101,20550101,,Preservation,FALSE,,,1,1,31,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20110101,20550101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021866,1020400063,2922 Fredrick Douglass Bl,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20030101,20340101,,Preservation,FALSE,,,1,1,7,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20030101,20340101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021868,1020400064,2920 Fredrick Douglass Bl,NYC Department of Finance,Property Tax Incentives,420-c Tax Incentive Program,,20030101,20340101,,Preservation,FALSE,,,1,1,7,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061023600,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,1,20030101,20340101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021869,1020410014,303 West 137 Street,NYC Department of Finance,Property Tax Incentives,421-a Tax Incentive Program,,20200101,20550101,,New Construction,FALSE,,,1,2,16,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061022102,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,0,,,1,20200101,20550101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021870,1020417504,2601 Fredrick Douglass Bl,NYC Department of Finance,Property Tax Incentives,421-a Tax Incentive Program,,20100101,20350101,,New Construction,FALSE,,,1,1,20,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061022102,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,0,,,1,20100101,20350101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
07000000021871,1020417503,2605 Fredrick Douglass Bl,NYC Department of Finance,Property Tax Incentives,421-a Tax Incentive Program,,20090101,20340101,,New Construction,FALSE,,,1,1,14,1,New York City,1,Manhattan,110,MN 10 - Central Harlem,3803,Central Harlem,9,City Council District 9,36061022102,1,0,0,0,0,0,0,0,0,0,0,1,0,0,,,0,,,0,,,0,,,1,20090101,20340101,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,
