GEOID,NAME,B11001_001E,source,year
36005022300,"Census Tract 223, Bronx, NY",2103.0,censusreporter:acs2024_5yr,2024
36005022401,"Census Tract 224.01, Bronx, NY",965.0,censusreporter:acs2024_5yr,2024
36005022403,"Census Tract 224.03, Bronx, NY",1154.0,censusreporter:acs2024_5yr,2024
36005022404,"Census Tract 224.04, Bronx, NY",1875.0,censusreporter:acs2024_5yr,2024
36005022500,"Census Tract 225, Bronx, NY",2225.0,censusreporter:acs2024_5yr,2024
36005022701,"Census Tract 227.01, Bronx, NY",2025.0,censusreporter:acs2024_5yr,2024
36005022702,"Census Tract 227.02, Bronx, NY",545.0,censusreporter:acs2024_5yr,2024
36005022703,"Census Tract 227.03, Bronx, NY",695.0,censusreporter:acs2024_5yr,2024
36005022800,"Census Tract 228, Bronx, NY",2381.0,censusreporter:acs2024_5yr,2024
36005022901,"Census Tract 229.01, Bronx, NY",1970.0,censusreporter:acs2024_5yr,2024
36005022902,"Census Tract 229.02, Bronx, NY",1186.0,censusreporter:acs2024_5yr,2024
36005023000,"Census Tract 230, Bronx, NY",965.0,censusreporter:acs2024_5yr,2024
36005023100,"Census Tract 231, Bronx, NY",404.0,censusreporter:acs2024_5yr,2024
36005023200,"Census Tract 232, Bronx, NY",867.0,censusreporter:acs2024_5yr,2024
36005023301,"Census Tract 233.01, Bronx, NY",1622.0,censusreporter:acs2024_5yr,2024
36005023302,"Census Tract 233.02, Bronx, NY",1082.0,censusreporter:acs2024_5yr,2024
36005023501,"Census Tract 235.01, Bronx, NY",1211.0,censusreporter:acs2024_5yr,2024
36005023502,"Census Tract 235.02, Bronx, NY",1703.0,censusreporter:acs2024_5yr,2024
36005023600,"Census Tract 236, Bronx, NY",566.0,censusreporter:acs2024_5yr,2024
36005023702,"Census Tract 237.02, Bronx, NY",317.0,censusreporter:acs2024_5yr,2024
36005023703,"Census Tract 237.03, Bronx, NY",1835.0,censusreporter:acs2024_5yr,2024
36005023704,"Census Tract 237.04, Bronx, NY",1392.0,censusreporter:acs2024_5yr,2024
36005023800,"Census Tract 238, Bronx, NY",802.0,censusreporter:acs2024_5yr,2024
36005023900,"Census Tract 239, Bronx, NY",2583.0,censusreporter:acs2024_5yr,2024
36005024000,"Census Tract 240, Bronx, NY",1319.0,censusreporter:acs2024_5yr,2024
36005024100,"Census Tract 241, Bronx, NY",2309.0,censusreporter:acs2024_5yr,2024
36005024300,"Census Tract 243, Bronx, NY",2007.0,censusreporter:acs2024_5yr,2024
36005024400,"Census Tract 244, Bronx, NY",830.0,censusreporter:acs2024_5yr,2024
36005024501,"Census Tract 245.01, Bronx, NY",1630.0,censusreporter:acs2024_5yr,2024
36005024502,"Census Tract 245.02, Bronx, NY",1256.0,censusreporter:acs2024_5yr,2024
36005024600,"Census Tract 246, Bronx, NY",774.0,censusreporter:acs2024_5yr,2024
36005024700,"Census Tract 247, Bronx, NY",735.0,censusreporter:acs2024_5yr,2024
36005024800,"Census Tract 248, Bronx, NY",1250.0,censusreporter:acs2024_5yr,2024
36005024900,"Census Tract 249, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005025000,"Census Tract 250, Bronx, NY",905.0,censusreporter:acs2024_5yr,2024
36005025100,"Census Tract 251, Bronx, NY",2314.0,censusreporter:acs2024_5yr,2024
36005025200,"Census Tract 252, Bronx, NY",921.0,censusreporter:acs2024_5yr,2024
36005025300,"Census Tract 253, Bronx, NY",1862.0,censusreporter:acs2024_5yr,2024
36005025400,"Census Tract 254, Bronx, NY",833.0,censusreporter:acs2024_5yr,2024
36005025500,"Census Tract 255, Bronx, NY",2311.0,censusreporter:acs2024_5yr,2024
36005025600,"Census Tract 256, Bronx, NY",626.0,censusreporter:acs2024_5yr,2024
36005025700,"Census Tract 257, Bronx, NY",656.0,censusreporter:acs2024_5yr,2024
36005026100,"Census Tract 261, Bronx, NY",1126.0,censusreporter:acs2024_5yr,2024
36005026300,"Census Tract 263, Bronx, NY",2248.0,censusreporter:acs2024_5yr,2024
36005026400,"Census Tract 264, Bronx, NY",2227.0,censusreporter:acs2024_5yr,2024
36005026500,"Census Tract 265, Bronx, NY",2181.0,censusreporter:acs2024_5yr,2024
36005026601,"Census Tract 266.01, Bronx, NY",1400.0,censusreporter:acs2024_5yr,2024
36005026602,"Census Tract 266.02, Bronx, NY",2532.0,censusreporter:acs2024_5yr,2024
36005026701,"Census Tract 267.01, Bronx, NY",1290.0,censusreporter:acs2024_5yr,2024
36005026702,"Census Tract 267.02, Bronx, NY",2546.0,censusreporter:acs2024_5yr,2024
36005026900,"Census Tract 269, Bronx, NY",1926.0,censusreporter:acs2024_5yr,2024
36005027300,"Census Tract 273, Bronx, NY",2979.0,censusreporter:acs2024_5yr,2024
36005027401,"Census Tract 274.01, Bronx, NY",1840.0,censusreporter:acs2024_5yr,2024
36005027402,"Census Tract 274.02, Bronx, NY",1316.0,censusreporter:acs2024_5yr,2024
36005027600,"Census Tract 276, Bronx, NY",31.0,censusreporter:acs2024_5yr,2024
36005027700,"Census Tract 277, Bronx, NY",1790.0,censusreporter:acs2024_5yr,2024
36005027900,"Census Tract 279, Bronx, NY",3017.0,censusreporter:acs2024_5yr,2024
36005028100,"Census Tract 281, Bronx, NY",1673.0,censusreporter:acs2024_5yr,2024
36005028300,"Census Tract 283, Bronx, NY",1044.0,censusreporter:acs2024_5yr,2024
36005028400,"Census Tract 284, Bronx, NY",0.0,censusreporter:acs2024_5yr,2024
36005028500,"Census Tract 285, Bronx, NY",1799.0,censusreporter:acs2024_5yr,2024
36005028600,"Census Tract 286, Bronx, NY",532.0,censusreporter:acs2024_5yr,2024
36005028700,"Census Tract 287, Bronx, NY",1244.0,censusreporter:acs2024_5yr,2024
36005028800,"Census Tract 288, Bronx, NY",1046.0,censusreporter:acs2024_5yr,2024
36005028900,"Census Tract 289, Bronx, NY",1861.0,censusreporter:acs2024_5yr,2024
36005029301,"Census Tract 293.01, Bronx, NY",939.0,censusreporter:acs2024_5yr,2024
36005029302,"Census Tract 293.02, Bronx, NY",2652.0,censusreporter:acs2024_5yr,2024
36005029500,"Census Tract 295, Bronx, NY",2014.0,censusreporter:acs2024_5yr,2024
36005029600,"Census Tract 296, Bronx, NY",1098.0,censusreporter:acs2024_5yr,2024
36005029700,"Census Tract 297, Bronx, NY",1887.0,censusreporter:acs2024_5yr,2024
36005030000,"Census Tract 300, Bronx, NY",2560.0,censusreporter:acs2024_5yr,2024
