NAME,B11001_001E,state,county,tract,GEOID,year
"Census Tract 407.02, Bronx County, New York",2863,36,005,040702,36005040702,2021
"Census Tract 408, Bronx County, New York",1729,36,005,040800,36005040800,2021
"Census Tract 409, Bronx County, New York",1388,36,005,040900,36005040900,2021
"Census Tract 411, Bronx County, New York",1437,36,005,041100,36005041100,2021
"Census Tract 413, Bronx County, New York",3137,36,005,041300,36005041300,2021
"Census Tract 414, Bronx County, New York",1840,36,005,041400,36005041400,2021
"Census Tract 415, Bronx County, New York",2386,36,005,041500,36005041500,2021
"Census Tract 418, Bronx County, New York",1241,36,005,041800,36005041800,2021
"Census Tract 419, Bronx County, New York",2516,36,005,041900,36005041900,2021
"Census Tract 420, Bronx County, New York",1616,36,005,042000,36005042000,2021
"Census Tract 421, Bronx County, New York",2054,36,005,042100,36005042100,2021
"Census Tract 422, Bronx County, New York",1218,36,005,042200,36005042200,2021
"Census Tract 423, Bronx County, New York",1354,36,005,042300,36005042300,2021
"Census Tract 424, Bronx County, New York",801,36,005,042400,36005042400,2021
"Census Tract 425, Bronx County, New York",2172,36,005,042500,36005042500,2021
"Census Tract 426, Bronx County, New York",2195,36,005,042600,36005042600,2021
"Census Tract 428, Bronx County, New York",772,36,005,042800,36005042800,2021
"Census Tract 429.01, Bronx County, New York",1206,36,005,042901,36005042901,2021
"Census Tract 429.02, Bronx County, New York",1689,36,005,042902,36005042902,2021
"Census Tract 430, Bronx County, New York",1264,36,005,043000,36005043000,2021
"Census Tract 431.01, Bronx County, New York",1886,36,005,043101,36005043101,2021
"Census Tract 431.02, Bronx County, New York",1838,36,005,043102,36005043102,2021
"Census Tract 434, Bronx County, New York",1460,36,005,043400,36005043400,2021
"Census Tract 435.01, Bronx County, New York",420,36,005,043501,36005043501,2021
"Census Tract 435.02, Bronx County, New York",0,36,005,043502,36005043502,2021
"Census Tract 435.03, Bronx County, New York",0,36,005,043503,36005043503,2021
"Census Tract 436, Bronx County, New York",715,36,005,043600,36005043600,2021
"Census Tract 442, Bronx County, New York",1271,36,005,044200,36005044200,2021
"Census Tract 444, Bronx County, New York",1397,36,005,044400,36005044400,2021
"Census Tract 448, Bronx County, New York",672,36,005,044800,36005044800,2021
"Census Tract 449.01, Bronx County, New York",794,36,005,044901,36005044901,2021
"Census Tract 449.02, Bronx County, New York",898,36,005,044902,36005044902,2021
"Census Tract 451.01, Bronx County, New York",929,36,005,045101,36005045101,2021
"Census Tract 451.02, Bronx County, New York",904,36,005,045102,36005045102,2021
"Census Tract 456, Bronx County, New York",1167,36,005,045600,36005045600,2021
"Census Tract 458, Bronx County, New York",2029,36,005,045800,36005045800,2021
"Census Tract 460, Bronx County, New York",987,36,005,046000,36005046000,2021
"Census Tract 462.03, Bronx County, New York",3245,36,005,046203,36005046203,2021
"Census Tract 462.04, Bronx County, New York",2383,36,005,046204,36005046204,2021
"Census Tract 462.05, Bronx County, New York",1922,36,005,046205,36005046205,2021
"Census Tract 462.06, Bronx County, New York",2015,36,005,046206,36005046206,2021
"Census Tract 462.07, Bronx County, New York",2968,36,005,046207,36005046207,2021
"Census Tract 462.08, Bronx County, New York",1502,36,005,046208,36005046208,2021
"Census Tract 462.09, Bronx County, New York",1488,36,005,046209,36005046209,2021
"Census Tract 484.01, Bronx County, New York",1267,36,005,048401,36005048401,2021
"Census Tract 484.02, Bronx County, New York",0,36,005,048402,36005048402,2021
"Census Tract 504, Bronx County, New York",0,36,005,050400,36005050400,2021
"Census Tract 516.01, Bronx County, New York",1958,36,005,051601,36005051601,2021
"Census Tract 516.02, Bronx County, New York",0,36,005,051602,36005051602,2021
