GEOID,NAME,source,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,n_low,n_mid,n_high,n_i_sum,year
36005006302,"Census Tract 63.02, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005006400,"Census Tract 64, Bronx, NY",censusreporter:acs2024_5yr,1574.0,330.0,152.0,0.0,103.0,54.0,51.0,73.0,126.0,174.0,148.0,88.0,120.0,34.0,48.0,31.0,42.0,585.0,478.0,511.0,1574.0,2024
36005006500,"Census Tract 65, Bronx, NY",censusreporter:acs2024_5yr,2245.0,509.0,339.0,234.0,111.0,85.0,19.0,39.0,145.0,55.0,0.0,284.0,164.0,124.0,37.0,83.0,17.0,1193.0,343.0,709.0,2245.0,2024
36005006700,"Census Tract 67, Bronx, NY",censusreporter:acs2024_5yr,2640.0,376.0,326.0,351.0,121.0,121.0,327.0,68.0,161.0,76.0,106.0,257.0,93.0,0.0,0.0,210.0,47.0,1174.0,753.0,713.0,2640.0,2024
36005006800,"Census Tract 68, Bronx, NY",censusreporter:acs2024_5yr,893.0,105.0,23.0,94.0,35.0,120.0,94.0,139.0,64.0,0.0,18.0,24.0,96.0,35.0,9.0,6.0,31.0,257.0,417.0,219.0,893.0,2024
36005006900,"Census Tract 69, Bronx, NY",censusreporter:acs2024_5yr,2705.0,652.0,413.0,110.0,0.0,341.0,252.0,129.0,150.0,0.0,142.0,154.0,179.0,130.0,0.0,0.0,53.0,1175.0,872.0,658.0,2705.0,2024
36005007000,"Census Tract 70, Bronx, NY",censusreporter:acs2024_5yr,1447.0,312.0,29.0,136.0,0.0,40.0,91.0,114.0,9.0,10.0,137.0,95.0,128.0,79.0,89.0,114.0,64.0,477.0,264.0,706.0,1447.0,2024
36005007100,"Census Tract 71, Bronx, NY",censusreporter:acs2024_5yr,1530.0,404.0,182.0,36.0,163.0,93.0,87.0,23.0,25.0,47.0,35.0,102.0,76.0,48.0,77.0,81.0,51.0,785.0,275.0,470.0,1530.0,2024
36005007200,"Census Tract 72, Bronx, NY",censusreporter:acs2024_5yr,1625.0,183.0,101.0,53.0,45.0,38.0,49.0,17.0,159.0,55.0,142.0,176.0,160.0,88.0,115.0,84.0,160.0,382.0,318.0,925.0,1625.0,2024
36005007300,"Census Tract 73, Bronx, NY",censusreporter:acs2024_5yr,1602.0,470.0,33.0,17.0,133.0,149.0,112.0,194.0,40.0,151.0,76.0,46.0,65.0,13.0,0.0,103.0,0.0,653.0,646.0,303.0,1602.0,2024
36005007400,"Census Tract 74, Bronx, NY",censusreporter:acs2024_5yr,1429.0,167.0,64.0,55.0,12.0,134.0,39.0,17.0,150.0,35.0,2.0,83.0,192.0,137.0,110.0,90.0,142.0,298.0,375.0,756.0,1429.0,2024
36005007500,"Census Tract 75, Bronx, NY",censusreporter:acs2024_5yr,2430.0,398.0,319.0,181.0,142.0,34.0,165.0,187.0,14.0,38.0,265.0,204.0,41.0,182.0,96.0,102.0,62.0,1040.0,438.0,952.0,2430.0,2024
36005007600,"Census Tract 76, Bronx, NY",censusreporter:acs2024_5yr,1822.0,236.0,80.0,102.0,116.0,126.0,30.0,109.0,36.0,35.0,142.0,205.0,198.0,87.0,63.0,129.0,128.0,534.0,336.0,952.0,1822.0,2024
36005007700,"Census Tract 77, Bronx, NY",censusreporter:acs2024_5yr,601.0,115.0,12.0,12.0,0.0,0.0,65.0,0.0,60.0,28.0,76.0,82.0,39.0,42.0,10.0,60.0,0.0,139.0,153.0,309.0,601.0,2024
36005007800,"Census Tract 78, Bronx, NY",censusreporter:acs2024_5yr,1932.0,251.0,98.0,119.0,159.0,124.0,12.0,0.0,55.0,208.0,70.0,75.0,255.0,43.0,106.0,239.0,118.0,627.0,399.0,906.0,1932.0,2024
36005007900,"Census Tract 79, Bronx, NY",censusreporter:acs2024_5yr,2225.0,580.0,9.0,94.0,42.0,198.0,0.0,163.0,114.0,139.0,283.0,119.0,136.0,152.0,36.0,121.0,39.0,725.0,614.0,886.0,2225.0,2024
36005008300,"Census Tract 83, Bronx, NY",censusreporter:acs2024_5yr,2213.0,297.0,242.0,29.0,153.0,124.0,0.0,41.0,128.0,169.0,230.0,115.0,132.0,201.0,111.0,53.0,188.0,721.0,462.0,1030.0,2213.0,2024
36005008400,"Census Tract 84, Bronx, NY",censusreporter:acs2024_5yr,1023.0,20.0,30.0,31.0,41.0,0.0,0.0,34.0,182.0,16.0,136.0,85.0,172.0,25.0,45.0,49.0,157.0,122.0,232.0,669.0,1023.0,2024
36005008500,"Census Tract 85, Bronx, NY",censusreporter:acs2024_5yr,2189.0,171.0,229.0,200.0,99.0,175.0,58.0,106.0,92.0,93.0,51.0,165.0,297.0,233.0,103.0,42.0,75.0,699.0,524.0,966.0,2189.0,2024
36005008600,"Census Tract 86, Bronx, NY",censusreporter:acs2024_5yr,1550.0,371.0,228.0,168.0,117.0,123.0,46.0,0.0,36.0,152.0,105.0,135.0,55.0,0.0,0.0,0.0,14.0,884.0,357.0,309.0,1550.0,2024
36005008700,"Census Tract 87, Bronx, NY",censusreporter:acs2024_5yr,2091.0,262.0,157.0,216.0,177.0,82.0,45.0,94.0,250.0,176.0,36.0,248.0,141.0,30.0,33.0,123.0,21.0,812.0,647.0,632.0,2091.0,2024
36005008900,"Census Tract 89, Bronx, NY",censusreporter:acs2024_5yr,1346.0,93.0,248.0,28.0,161.0,33.0,76.0,115.0,125.0,146.0,18.0,169.0,84.0,15.0,0.0,0.0,35.0,530.0,495.0,321.0,1346.0,2024
36005009000,"Census Tract 90, Bronx, NY",censusreporter:acs2024_5yr,1281.0,205.0,170.0,86.0,79.0,42.0,0.0,81.0,106.0,42.0,242.0,41.0,74.0,8.0,34.0,37.0,34.0,540.0,271.0,470.0,1281.0,2024
36005009200,"Census Tract 92, Bronx, NY",censusreporter:acs2024_5yr,1872.0,64.0,64.0,154.0,46.0,191.0,76.0,141.0,94.0,37.0,127.0,208.0,226.0,70.0,70.0,160.0,144.0,328.0,539.0,1005.0,1872.0,2024
36005009301,"Census Tract 93.01, Bronx, NY",censusreporter:acs2024_5yr,1912.0,281.0,48.0,67.0,84.0,43.0,83.0,83.0,109.0,153.0,233.0,38.0,213.0,89.0,23.0,303.0,62.0,480.0,471.0,961.0,1912.0,2024
36005009302,"Census Tract 93.02, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005009600,"Census Tract 96, Bronx, NY",censusreporter:acs2024_5yr,818.0,134.0,95.0,56.0,12.0,24.0,26.0,0.0,39.0,37.0,70.0,73.0,71.0,76.0,16.0,51.0,38.0,297.0,126.0,395.0,818.0,2024
36005009800,"Census Tract 98, Bronx, NY",censusreporter:acs2024_5yr,1669.0,96.0,46.0,59.0,28.0,50.0,0.0,90.0,105.0,26.0,231.0,67.0,103.0,479.0,113.0,88.0,88.0,229.0,271.0,1169.0,1669.0,2024
36005011000,"Census Tract 110, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005011502,"Census Tract 115.02, Bronx, NY",censusreporter:acs2024_5yr,1513.0,160.0,85.0,181.0,161.0,147.0,121.0,56.0,54.0,78.0,155.0,42.0,102.0,0.0,144.0,7.0,20.0,587.0,456.0,470.0,1513.0,2024
36005011701,"Census Tract 117.01, Bronx, NY",censusreporter:acs2024_5yr,474.0,90.0,10.0,17.0,49.0,0.0,19.0,70.0,68.0,22.0,45.0,16.0,37.0,0.0,10.0,21.0,0.0,166.0,179.0,129.0,474.0,2024
36005011702,"Census Tract 117.02, Bronx, NY",censusreporter:acs2024_5yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024
36005011800,"Census Tract 118, Bronx, NY",censusreporter:acs2024_5yr,1517.0,100.0,60.0,19.0,48.0,51.0,39.0,33.0,12.0,164.0,73.0,62.0,173.0,126.0,74.0,283.0,200.0,227.0,299.0,991.0,1517.0,2024
36005011900,"Census Tract 119, Bronx, NY",censusreporter:acs2024_5yr,1875.0,206.0,110.0,155.0,112.0,70.0,130.0,106.0,65.0,17.0,56.0,265.0,113.0,107.0,55.0,285.0,23.0,583.0,388.0,904.0,1875.0,2024
36005012101,"Census Tract 121.01, Bronx, NY",censusreporter:acs2024_5yr,1057.0,242.0,107.0,68.0,22.0,27.0,64.0,24.0,57.0,62.0,108.0,25.0,105.0,41.0,22.0,61.0,22.0,439.0,234.0,384.0,1057.0,2024
36005012102,"Census Tract 121.02, Bronx, NY",censusreporter:acs2024_5yr,572.0,85.0,142.0,0.0,45.0,50.0,45.0,0.0,0.0,58.0,20.0,42.0,18.0,26.0,0.0,40.0,1.0,272.0,153.0,147.0,572.0,2024
36005012300,"Census Tract 123, Bronx, NY",censusreporter:acs2024_5yr,1772.0,322.0,236.0,51.0,104.0,73.0,38.0,153.0,13.0,129.0,131.0,144.0,114.0,35.0,79.0,6.0,144.0,713.0,406.0,653.0,1772.0,2024
36005012500,"Census Tract 125, Bronx, NY",censusreporter:acs2024_5yr,1449.0,93.0,52.0,122.0,90.0,78.0,16.0,0.0,96.0,53.0,195.0,224.0,96.0,37.0,53.0,189.0,55.0,357.0,243.0,849.0,1449.0,2024
36005012701,"Census Tract 127.01, Bronx, NY",censusreporter:acs2024_5yr,745.0,56.0,83.0,58.0,64.0,66.0,52.0,45.0,0.0,16.0,34.0,77.0,66.0,28.0,63.0,37.0,0.0,261.0,179.0,305.0,745.0,2024
36005012901,"Census Tract 129.01, Bronx, NY",censusreporter:acs2024_5yr,1744.0,224.0,285.0,122.0,189.0,0.0,10.0,55.0,178.0,34.0,67.0,221.0,171.0,179.0,9.0,0.0,0.0,820.0,277.0,647.0,1744.0,2024
36005013000,"Census Tract 130, Bronx, NY",censusreporter:acs2024_5yr,472.0,6.0,0.0,28.0,0.0,94.0,16.0,7.0,16.0,0.0,81.0,18.0,42.0,30.0,6.0,51.0,77.0,34.0,133.0,305.0,472.0,2024
36005013100,"Census Tract 131, Bronx, NY",censusreporter:acs2024_5yr,2225.0,463.0,302.0,378.0,134.0,0.0,31.0,43.0,183.0,101.0,18.0,126.0,154.0,82.0,121.0,52.0,37.0,1277.0,358.0,590.0,2225.0,2024
36005013200,"Census Tract 132, Bronx, NY",censusreporter:acs2024_5yr,2605.0,194.0,0.0,20.0,100.0,20.0,34.0,103.0,232.0,70.0,75.0,159.0,180.0,339.0,188.0,465.0,426.0,314.0,459.0,1832.0,2605.0,2024
36005013300,"Census Tract 133, Bronx, NY",censusreporter:acs2024_5yr,2269.0,809.0,130.0,17.0,104.0,135.0,206.0,196.0,199.0,58.0,53.0,48.0,157.0,34.0,28.0,95.0,0.0,1060.0,794.0,415.0,2269.0,2024
36005013500,"Census Tract 135, Bronx, NY",censusreporter:acs2024_5yr,1534.0,237.0,275.0,107.0,76.0,184.0,38.0,36.0,46.0,121.0,13.0,197.0,13.0,175.0,0.0,16.0,0.0,695.0,425.0,414.0,1534.0,2024
36005013800,"Census Tract 138, Bronx, NY",censusreporter:acs2024_5yr,1255.0,195.0,0.0,9.0,14.0,47.0,7.0,45.0,31.0,34.0,44.0,177.0,115.0,57.0,143.0,196.0,141.0,218.0,164.0,873.0,1255.0,2024
36005014100,"Census Tract 141, Bronx, NY",censusreporter:acs2024_5yr,3034.0,248.0,428.0,168.0,326.0,130.0,101.0,205.0,119.0,45.0,135.0,287.0,320.0,116.0,87.0,158.0,161.0,1170.0,600.0,1264.0,3034.0,2024
