NAME,B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,state,county,tract,GEOID,year,n_low,n_mid,n_high,n_i_sum
"Census Tract 398, Bronx County, New York",1249,177,77,150,36,14,15,14,24,70,131,25,191,13,148,43,121,36,005,039800,36005039800,2021,440,137,672,1249
"Census Tract 399.01, Bronx County, New York",1703,273,64,254,48,40,119,179,80,34,194,118,235,37,15,0,13,36,005,039901,36005039901,2021,639,452,612,1703
"Census Tract 399.02, Bronx County, New York",1703,223,115,48,98,84,73,120,52,111,135,299,170,76,49,50,0,36,005,039902,36005039902,2021,484,440,779,1703
"Census Tract 401, Bronx County, New York",2015,412,169,79,270,254,8,150,114,8,149,72,270,48,0,12,0,36,005,040100,36005040100,2021,930,534,551,2015
"Census Tract 403.02, Bronx County, New York",1636,185,364,42,42,59,75,134,79,97,118,33,128,64,77,139,0,36,005,040302,36005040302,2021,633,444,559,1636
"Census Tract 403.03, Bronx County, New York",1358,159,97,139,82,110,95,153,70,24,101,99,103,6,56,36,28,36,005,040303,36005040303,2021,477,452,429,1358
"Census Tract 403.04, Bronx County, New York",1221,115,116,130,110,59,147,50,0,62,91,97,66,29,141,8,0,36,005,040304,36005040304,2021,471,318,432,1221
"Census Tract 404, Bronx County, New York",1079,99,31,12,21,0,65,47,32,0,89,58,201,107,151,134,32,36,005,040400,36005040400,2021,163,144,772,1079
"Census Tract 405.01, Bronx County, New York",1405,187,89,104,75,49,34,134,0,109,99,196,165,74,18,52,20,36,005,040501,36005040501,2021,455,326,624,1405
"Census Tract 405.02, Bronx County, New York",2444,303,285,101,109,111,198,124,44,241,182,241,269,134,0,35,67,36,005,040502,36005040502,2021,798,718,928,2444
"Census Tract 406, Bronx County, New York",1305,131,45,127,43,62,67,0,161,67,112,148,57,136,60,46,43,36,005,040600,36005040600,2021,346,357,602,1305
"Census Tract 407.01, Bronx County, New York",1274,93,69,83,64,81,40,87,95,193,153,96,100,51,69,0,0,36,005,040701,36005040701,2021,309,496,469,1274
"Census Tract 407.02, Bronx County, New York",2863,227,311,220,273,177,284,204,54,90,331,152,295,156,27,62,0,36,005,040702,36005040702,2021,1031,809,1023,2863
"Census Tract 408, Bronx County, New York",1729,174,168,148,251,39,99,111,77,79,48,276,88,35,12,77,47,36,005,040800,36005040800,2021,741,405,583,1729
"Census Tract 409, Bronx County, New York",1388,22,0,56,65,71,80,68,180,32,116,82,171,222,62,111,50,36,005,040900,36005040900,2021,143,431,814,1388
"Census Tract 411, Bronx County, New York",1437,261,79,56,42,24,202,109,54,51,53,206,157,35,19,24,65,36,005,041100,36005041100,2021,438,440,559,1437
