source,store_id,store_name,address_query,addr_number,addr_street,addr_zip,latitude,longitude,bbl,bbl_method,bbl_label,bin,Tax_j,dof_taxyear,dof_annualized,pluto_assesstot,pluto_assessland,pluto_ownername,pluto_bldgclass,pluto_ok,dof_ok,assessment_ok,assessment_year,acris_lease_hit,acris_n_lease_docs,acris_lease_doc_type,Rent_j_acris,rent_sqft,Rent_j_low,Rent_j_mid,Rent_j_high,Rent_j,rent_method
agmarkets,735130,SALCEDO SUPERMARKET,"1318 LAFAYETTE AVE, Bronx, NY 10474",1318,LAFAYETTE AVE,10474,40.81689,-73.88643,2027630220,geosearch,"1318 LAFAYETTE AVENUE, Bronx, NY, USA",2006552,768208.0,2027,True,796950.0,48150.0,BRYANT PROPERTIES 769 LLC,C7,True,True,False,,False,0.0,,,2000.0,40000.0,55000.0,70000.0,55000.0,market_rate_sqft
agmarkets,733306,549 GROCERY,"549 SOUTHERN BLVD, Bronx, NY 10455",549,SOUTHERN BLVD,10455,40.81228,-73.90358,2026830052,geosearch,"549 SOUTHERN BOULEVARD, Bronx, NY, USA",2005088,292569.06,2027,False,420750.0,53100.0,547 SOUTHERN BOULEVARD HDFC,C6,True,True,False,,False,0.0,,,700.0,14000.0,19250.0,24500.0,19250.0,market_rate_sqft
agmarkets,732196,901 GOURMET DELI,"901 SOUTHERN BLVD, Bronx, NY 10459",901,SOUTHERN BLVD,10459,40.81957,-73.89287,2027230068,geosearch,"901 SOUTHERN BOULEVARD, Bronx, NY, USA",2005768,811144.64,2027,True,622800.0,40500.0,901 REALTY LLC,C7,True,True,False,,False,0.0,,,1000.0,20000.0,27500.0,35000.0,27500.0,market_rate_sqft
agmarkets,731695,947 DELI GROCERY,"947 E 163RD ST, Bronx, NY 10459",947,EAST 163RD ST,10459,40.82099,-73.89617,2027030053,geosearch,"947 EAST 163 STREET, Bronx, NY, USA",2005463,812092.64,2027,True,1694700.0,140850.0,EAST 163RD,D7,True,True,False,,True,1.0,LEAS,,1000.0,20000.0,27500.0,35000.0,27500.0,market_rate_sqft
agmarkets,731565,INTERVALE DELI,"1103 INTERVALE AVE, Bronx, NY 10459",1103,INTERVALE AVE,10459,40.82619,-73.89706,2026920074,geosearch,"1103 INTERVALE AVENUE, Bronx, NY, USA",2005291,33233.28,2027,True,845100.0,49500.0,S. BX CATCH MUTUAL HSNG/ASSOC/HSNG/DEV/F UND/CORP.,D7,True,True,False,,False,0.0,,,900.0,18000.0,24750.0,31500.0,24750.0,market_rate_sqft
agmarkets,731084,R & J SEAFOOD,"800 FOOD CENTER DR UNIT 117 ###, Bronx, NY 10474",800,FOOD CENTER DRIVE UNIT 117 ###,10474,40.80434,-73.87625,2027800073,geosearch,"800 FOOD CENTER DRIVE, Bronx, NY, USA",2088215,,,,60466050.0,3643200.0,NYC DEPARTMENT OF SMALL BUSINESS SERVICES,Z9,True,False,False,,False,0.0,,,1500.0,30000.0,41250.0,52500.0,41250.0,market_rate_sqft
agmarkets,730509,DOLLAR GENERAL # 19211,"900 SOUTHERN BLVD, Bronx, NY 10459",900,SOUTHERN BLVD,10459,40.81955,-73.89289,2027350001,geosearch,"900 SOUTHERN BOULEVARD, Bronx, NY, USA",2005881,188508.0,2027,True,647550.0,135000.0,WOODY PEAK 1 LLC,K1,True,True,False,,False,0.0,,,1500.0,30000.0,41250.0,52500.0,41250.0,market_rate_sqft
agmarkets,730328,HPA DELI,"803 HUNTS POINT AVE, Bronx, NY 10474",803,HUNTS POINT AVE,10474,40.81693,-73.88812,2027400039,geosearch,"803 HUNT'S POINT AVENUE, Bronx, NY, USA",2005958,2865524.32,2027,True,1402650.0,94050.0,NEW 1275 LAFAYETTE,C7,True,True,False,,True,2.0,MLEA,,1200.0,24000.0,33000.0,42000.0,33000.0,market_rate_sqft
agmarkets,729127,DISCOUNT CORP AND 99 CENT,"545 A SOUTHERN BLVD ####, Bronx, NY 10455",545 A,SOUTHERN BLVD ####,10455,40.81223,-73.90377,2026830001,geosearch,"545 SOUTHERN BOULEVARD, Bronx, NY, USA",2005080,369908.16,2027,True,921600.0,135000.0,WMM REALTY LLC,K1,True,True,False,,False,0.0,,,,,,,,none
agmarkets,728049,A & G DELI GROCERY III,"948 E 163RD ST, Bronx, NY 10459",948,E 163RD ST,10459,40.82099,-73.89606,2027030018,geosearch,"948 EAST 163 STREET, Bronx, NY, USA",2005453,203841.6,2027,True,744750.0,38250.0,KELLY STREET REDEVELOPMENT HOUSING DEVEL OPMENT FUN,C7,True,True,False,,False,0.0,,,1200.0,24000.0,33000.0,42000.0,33000.0,market_rate_sqft
